codigo;razao_10mais_40menos_2000;razao_20mais_40menos_2000;indigentes_2000;pobres_2000;idhm_renda_2003;idhm_edu_2003
2916708;12,784;8,884;50,48;82,087;0,51;0,671
2916807;21,685;14,019;49,925;80,418;0,539;0,754
2916856;18,047;12,138;50,781;79,631;0,526;0,706
2916906;30,857;18,782;51,501;82,453;0,559;0,722
2917003;48,144;32,024;73,132;89,418;0,479;0,725
2917102;16,08;10,399;39,744;74,799;0,556;0,723
2917201;24,507;14,994;49,292;79,884;0,565;0,631
2917300;20,484;13,602;54,315;80,722;0,533;0,7
2917334;22,165;15,316;56,563;80,502;0,491;0,685
2917359;30,586;21,103;65,929;89,977;0,463;0,717
2917409;32,276;22,255;58,552;79,972;0,521;0,715
2917508;34,81;21,944;46,824;72,708;0,606;0,782
2917607;23,82;15,225;47,457;78,825;0,564;0,698
2917706;33,112;22,092;50,614;69,279;0,555;0,756
2917805;19,281;12,864;57,718;86,048;0,489;0,653
2917904;18,745;13,14;67,077;90,858;0,453;0,647
2918001;23,028;15,408;39,539;68,288;0,598;0,803
2918100;53,905;36,004;65,019;81,24;0,504;0,633
2918209;13,093;9,657;47,93;82,34;0,527;0,691
2918308;21,625;14,517;62,579;87,034;0,483;0,686
2918357;15,755;11,034;41,559;72,815;0,539;0,728
2918407;27,204;17,261;31,308;61,672;0,635;0,802
2918456;33,046;22,052;60,132;83,684;0,508;0,624
2918506;23,926;16,566;62,149;81,71;0,494;0,696
2918555;11,914;8,343;44,177;78,531;0,523;0,762
2918605;13,664;9,537;43,185;71,987;0,539;0,784
2918704;13,033;9,386;56,73;85,487;0,506;0,68
2918753;16,606;12,676;69,173;89,26;0,458;0,666
2918803;16,596;11,253;41,137;76,831;0,539;0,701
2918902;26,163;16,462;37,752;70,384;0,607;0,686
2919009;13,661;9,598;66,096;87,895;0,455;0,719
2919058;15,31;10,069;46,457;82,501;0,521;0,715
2919108;10,854;7,875;50,176;81,06;0,5;0,668
2919157;29,072;18,336;51,562;79,635;0,545;0,734
2919207;42,378;27,105;25,009;49,936;0,737;0,881
2919306;34,477;22,201;48,693;75,291;0,572;0,75
2919405;41,214;26,789;55,662;76,896;0,564;0,734
2919504;24,662;16,15;45,469;69,676;0,564;0,728
2919553;;;;;;
2919603;27,789;18,956;70,211;90,63;0,466;0,696
2919702;13,593;9,723;48,522;74,425;0,531;0,698
2919801;63,531;41,509;65,48;85,779;0,496;0,7
2919900;21,515;14,972;70,187;90,312;0,475;0,749
2919926;19,174;12,537;19,603;52,083;0,624;0,889
2919959;14,698;10,989;63,393;87,902;0,459;0,629
2920007;13,476;9,657;41,756;75,72;0,538;0,696
2920106;14,953;10,638;61,283;85,207;0,495;0,718
2920205;18,555;13,29;64,782;86,598;0,457;0,688
2920304;26,288;19,588;60,111;81,763;0,494;0,693
2920403;15,612;11,786;61,281;83,802;0,475;0,64
2920452;;;74,929;89,365;0,415;0,801
2920502;13,034;9,179;57,594;83,449;0,49;0,759
